"sex" "age" "educ" "country" "self" "vign1" "vign2" "vign3" "vign4" "vign5" "vign6"
"63484" 0 17 4 "Eastasia" 2 3 3 3 4 4 3
"30485" 0 68 7 "Oceania" 2 3 4 3 4 5 5
"90418" 1 24 5 "Oceania" 2 3 2 5 5 3 5
"59437" 1 88 1 "Oceania" 3 4 4 4 4 4 4
"23408" 1 59 4 "Oceania" 3 4 3 4 3 4 4
"66169" 0 20 2 "Eastasia" 3 5 5 4 5 5 5
"48971" 0 57 5 "Eastasia" 1 2 1 3 4 3 5
"17627" 1 26 3 "Eastasia" 1 3 3 4 4 4 4
"41906" 1 34 3 "Oceania" 2 3 2 5 4 5 5
"163347" 1 21 6 "Eastasia" 1 2 2 3 3 3 5
"129952" 0 26 4 "Eastasia" 3 5 3 5 5 5 5
"129000" 0 47 1 "Eastasia" 1 5 5 5 5 5 5
"26469" 1 71 3 "Oceania" 2 3 3 3 5 5 5
"30502" 0 20 5 "Oceania" 1 4 3 4 3 5 5
"154223" 1 56 1 "Eastasia" 2 5 1 5 5 3 5
"6596" 0 55 1 "Eastasia" 4 5 5 5 5 5 5
"159014" 0 29 2 "Eastasia" 2 4 4 5 5 5 5
"18794" 0 23 6 "Eastasia" 2 3 2 3 3 3 4
"1044" 1 38 1 "Oceania" 2 5 5 5 5 5 5
"70033" 1 75 1 "Eastasia" 1 3 4 3 3 3 2
"82715" 1 22 4 "Eastasia" 1 3 3 3 4 3 4
"31119" 1 56 4 "Oceania" 1 5 2 5 5 4 5
"15080" 1 38 4 "Eastasia" 3 4 4 4 4 3 4
"142509" 0 80 3 "Eastasia" 1 3 3 4 4 3 2
"73821" 1 45 1 "Oceania" 2 4 2 5 3 4 5
"20221" 1 20 3 "Eastasia" 1 3 3 3 4 3 3
"49512" 0 83 5 "Eastasia" 1 3 2 3 4 3 5
"123281" 0 24 4 "Eastasia" 2 3 4 4 5 4 5
"26148" 0 72 3 "Oceania" 2 3 4 3 4 3 3
"31071" 1 39 7 "Oceania" 1 2 4 5 5 5 5
"120523" 1 36 1 "Eurasia" 2 3 3 4 4 4 5
"4578" 1 23 2 "Oceania" 2 3 2 3 2 1 3
"91929" 1 25 3 "Oceania" 1 4 2 5 5 5 5
"109579" 1 20 6 "Eurasia" 1 2 5 4 5 5 5
"149966" 1 80 3 "Eastasia" 2 3 3 4 4 5 4
"89784" 0 55 3 "Oceania" 2 4 3 5 5 5 5
"1119" 0 42 4 "Oceania" 2 3 3 5 2 4 5
"11631" 1 42 2 "Eastasia" 1 4 1 3 4 3 5
"56465" 0 58 1 "Oceania" 1 2 1 4 5 5 5
"23819" 1 34 3 "Oceania" 2 3 2 4 4 5 5
"8130" 0 44 7 "Eastasia" 3 5 2 5 5 5 5
"3446" 0 29 3 "Oceania" 1 5 5 5 5 5 5
"160015" 1 20 2 "Eastasia" 2 3 4 5 5 5 5
"65315" 0 54 1 "Eastasia" 1 2 2 5 5 5 5
"37822" 1 29 4 "Eastasia" 2 4 4 4 4 4 4
"27362" 0 75 2 "Oceania" 3 4 4 5 5 5 5
"89746" 1 22 3 "Oceania" 1 3 5 5 5 5 5
"143167" 0 47 1 "Eastasia" 2 3 3 3 3 3 3
"149189" 0 53 4 "Eastasia" 2 3 3 3 2 4 3
"31111" 0 50 4 "Oceania" 3 4 3 5 4 5 5
"45432" 1 73 1 "Eastasia" 2 3 1 4 5 5 5
"115859" 1 48 1 "Eurasia" 2 3 3 5 5 3 5
"141381" 1 41 1 "Eastasia" 2 3 3 3 5 3 4
"67184" 1 40 1 "Eastasia" 2 3 1 4 4 4 5
"103458" 1 32 2 "Eastasia" 1 4 4 5 4 5 5
"156561" 0 40 3 "Eastasia" 1 2 2 5 5 5 5
"157709" 1 34 1 "Eastasia" 2 4 4 5 5 5 5
"38215" 0 38 4 "Eastasia" 2 3 3 4 5 4 5
"83696" 0 26 3 "Eastasia" 1 2 1 4 4 4 5
"30445" 0 55 7 "Oceania" 2 4 4 4 4 4 4
"92234" 0 45 3 "Oceania" 4 5 5 5 3 5 5
"30741" 1 55 5 "Oceania" 4 5 5 5 5 5 5
"87974" 0 30 2 "Oceania" 2 3 2 4 5 5 5
"138457" 1 18 1 "Eastasia" 1 2 2 4 5 3 5
"25273" 1 74 3 "Oceania" 1 5 4 5 5 5 5
"159495" 0 22 3 "Eastasia" 2 4 4 5 4 2 5
"97827" 0 32 4 "Eastasia" 3 5 4 5 5 5 4
"108267" 0 38 4 "Eastasia" 1 2 1 5 5 5 4
"140966" 0 35 1 "Eastasia" 1 3 4 5 5 3 5
"46293" 1 71 3 "Eastasia" 1 2 1 3 5 3 5
"161919" 0 35 1 "Eastasia" 3 4 3 4 5 3 5
"139914" 0 47 3 "Eastasia" 1 2 1 5 5 3 5
"26841" 1 34 7 "Oceania" 1 5 5 5 5 5 5
"90437" 1 38 1 "Oceania" 2 3 2 4 5 3 5
"80887" 0 28 3 "Eastasia" 3 3 3 3 3 3 3
"143013" 1 58 3 "Eastasia" 3 3 3 4 5 4 5
"144690" 0 35 1 "Eastasia" 3 3 2 5 5 5 5
"64786" 0 39 1 "Eastasia" 3 3 4 4 3 4 4
"163463" 1 27 3 "Eastasia" 3 3 2 5 5 5 5
"61262" 0 20 1 "Oceania" 4 4 3 4 3 3 3
"3946" 0 78 2 "Oceania" 1 1 3 2 4 3 1
"45554" 1 61 4 "Eastasia" 3 3 2 4 4 4 5
"42315" 1 67 4 "Oceania" 3 3 2 3 5 5 5
"2157" 1 47 2 "Oceania" 1 2 2 1 2 4 2
"114296" 0 39 3 "Eastasia" 2 2 3 3 3 2 4
"162799" 1 58 2 "Eastasia" 3 4 3 3 4 3 4
"125849" 0 52 5 "Eastasia" 1 1 1 2 5 4 5
"168133" 0 25 4 "Eastasia" 2 2 1 4 5 4 5
"10293" 0 35 4 "Eastasia" 5 5 5 5 5 5 5
"66963" 0 70 2 "Eastasia" 2 2 3 5 3 5 4
"155050" 0 30 1 "Eastasia" 5 5 2 5 5 5 5
"83411" 0 36 1 "Eastasia" 3 3 5 3 3 5 4
"105448" 0 46 3 "Eastasia" 1 1 1 5 5 5 5
"41456" 0 52 4 "Oceania" 3 3 3 5 5 5 5
"22840" 0 69 4 "Oceania" 1 1 4 5 4 3 5
"46609" 1 75 5 "Eastasia" 2 2 3 2 5 4 5
"102682" 0 29 2 "Eastasia" 1 5 5 1 5 5 1
"113866" 1 43 2 "Eastasia" 3 4 2 5 5 4 3
"27061" 1 36 5 "Oceania" 2 2 2 1 5 4 5
"149802" 0 18 3 "Eastasia" 3 3 2 4 5 3 5
"148683" 0 28 4 "Eastasia" 4 4 4 5 4 5 5
"125526" 0 67 3 "Eastasia" 1 1 1 3 5 5 5
"162321" 0 47 3 "Eastasia" 3 3 2 5 5 5 4
"70951" 1 21 1 "Eastasia" 4 4 4 4 4 4 4
"18259" 1 43 3 "Eastasia" 2 2 3 4 4 4 5
"83975" 1 40 1 "Eastasia" 2 2 1 5 4 4 4
"153059" 0 19 4 "Eastasia" 3 3 2 4 4 4 4
"57849" 0 18 2 "Oceania" 1 1 1 1 1 1 1
"160654" 0 60 1 "Eastasia" 4 4 3 5 4 5 4
"113026" 1 31 2 "Eastasia" 2 2 1 3 2 5 4
"37884" 1 20 4 "Eastasia" 2 2 1 4 5 4 5
"104309" 1 26 3 "Eastasia" 3 4 2 5 2 3 2
"23110" 1 45 3 "Oceania" 2 2 1 4 4 4 5
"112634" 1 36 3 "Eastasia" 3 3 5 1 1 4 1
"3929" 1 69 4 "Oceania" 3 3 3 3 4 5 3
"79340" 0 29 4 "Oceania" 3 3 4 3 3 4 5
"69677" 1 59 1 "Eastasia" 4 4 4 4 4 4 4
"150426" 1 21 5 "Eastasia" 3 3 3 4 4 4 5
"64616" NA 23 2 "Eastasia" 2 2 2 2 3 2 3
"114257" 0 73 1 "Eastasia" 3 3 3 3 3 3 3
"46849" 1 46 5 "Eastasia" 2 2 1 4 5 3 5
"149738" 0 32 3 "Eastasia" 3 3 3 4 4 4 5
"128590" 1 26 1 "Eastasia" 2 2 1 4 5 4 5
"140168" 0 24 4 "Eastasia" 3 3 3 4 4 5 5
"158495" 0 21 4 "Eastasia" 3 3 2 5 5 5 5
"140237" 1 27 4 "Eastasia" 3 3 3 4 5 4 5
"98639" 1 29 6 "Eastasia" 4 4 4 4 5 4 5
"2066" 1 74 2 "Oceania" 4 4 4 4 4 4 4
"21981" 0 32 4 "Oceania" 2 2 2 3 4 4 5
"131434" 0 55 6 "Eastasia" 3 3 2 3 3 4 5
"48371" 0 28 4 "Eastasia" 3 4 2 5 3 3 3
"119525" 1 51 5 "Eurasia" 2 2 5 4 5 5 2
"66870" 1 34 3 "Eastasia" 2 3 2 2 3 3 2
"51101" 0 40 5 "Eastasia" 2 2 2 3 3 4 4
"151240" 1 49 3 "Eastasia" 3 3 2 4 4 4 4
"138771" 0 25 3 "Eastasia" 2 2 4 4 5 3 5
"158478" 0 27 4 "Eastasia" 2 2 2 5 5 4 5
"26301" 0 63 3 "Oceania" 3 3 5 5 5 5 5
"70000" 1 30 2 "Eastasia" 4 4 5 3 4 5 5
"24005" 1 32 4 "Oceania" 3 3 1 3 4 4 5
"105716" 1 31 2 "Eastasia" 1 1 1 5 3 3 5
"158224" 1 27 3 "Eastasia" 2 2 2 5 5 5 5
"131626" 1 36 5 "Eastasia" 3 3 2 4 3 3 5
"150642" 0 55 4 "Eastasia" 3 3 1 4 5 2 5
"60262" 0 29 1 "Oceania" 5 5 2 5 5 5 5
"49968" 0 56 3 "Eastasia" 3 3 3 3 4 4 5
"6791" 1 24 2 "Eastasia" 4 4 4 4 4 4 4
"122413" 0 36 4 "Eastasia" 3 4 3 3 5 4 2
"62110" 1 26 3 "Eastasia" 1 1 2 4 4 5 5
"146841" 0 37 3 "Eastasia" 4 4 4 4 3 5 4
"92817" 0 28 4 "Oceania" 3 3 3 4 5 5 5
"156432" 0 31 1 "Eastasia" 3 3 2 4 5 3 1
"61996" 0 85 1 "Eastasia" 5 5 5 5 5 5 5
"131616" 1 49 5 "Eastasia" 4 4 4 5 4 3 3
"123978" 0 54 3 "Eastasia" 3 3 2 5 5 5 5
"105880" 1 20 3 "Eastasia" 1 1 1 3 4 4 5
"3391" 1 33 4 "Oceania" 1 1 1 5 5 5 5
"167550" 0 53 3 "Eastasia" 4 4 3 5 5 5 5
"88314" 0 53 3 "Oceania" 3 4 3 3 3 3 3
"128823" 0 51 5 "Eastasia" 1 3 3 1 3 5 1
"45578" 1 65 4 "Eastasia" 3 3 2 4 4 4 5
"7419" 0 18 4 "Eastasia" 4 5 5 4 5 5 5
"70099" 1 36 3 "Eastasia" 5 5 4 5 5 5 5
"134728" 1 78 5 "Eastasia" 4 5 4 4 5 4 5
"42090" 1 84 2 "Oceania" 1 1 1 5 4 4 5
"3441" 0 38 2 "Oceania" 3 3 3 5 5 3 3
"51249" 1 72 5 "Eastasia" 1 1 1 5 5 5 5
"127638" 0 78 1 "Eastasia" 4 4 4 5 5 3 5
"107390" 0 20 3 "Eastasia" 3 3 3 2 4 4 4
"45746" 1 43 4 "Eastasia" 2 2 1 3 4 3 5
"21505" 0 36 2 "Eastasia" 1 1 3 3 1 5 3
"96278" 0 36 5 "Eastasia" 3 4 2 3 4 5 4
"148118" 1 22 3 "Eastasia" 4 4 3 4 5 4 5
"25324" 0 43 4 "Oceania" 3 5 4 5 4 5 3
"120762" 0 37 3 "Eastasia" 5 5 4 4 5 5 5
"117374" 1 48 3 "Eurasia" 3 3 3 4 5 5 5
"166854" 0 27 4 "Eastasia" 1 1 1 4 5 3 4
"165282" 1 39 4 "Eastasia" 1 3 2 1 3 4 5
"19285" 1 26 3 "Eastasia" 2 5 2 2 5 4 5
"120366" 0 50 1 "Eurasia" 3 3 3 4 4 4 4
"150583" 1 42 4 "Eastasia" 4 4 3 4 4 4 4
"153414" 0 24 5 "Eastasia" 4 4 4 4 4 4 3
"97046" 1 30 3 "Eastasia" 3 3 4 5 5 5 5
"54443" 1 28 6 "Eastasia" 2 2 3 4 4 5 5
"96273" 0 54 4 "Eastasia" 3 3 2 5 5 5 5
"55552" 1 70 5 "Eastasia" 3 3 2 4 5 4 5
"152085" 0 46 4 "Eastasia" 2 3 4 3 2 3 2
"92608" 0 40 2 "Oceania" 5 5 2 4 5 3 5
"132076" 1 67 4 "Eastasia" 3 4 4 3 2 3 3
"62082" 1 65 1 "Eastasia" 4 4 4 5 5 4 4
"92129" 1 21 3 "Oceania" 3 3 3 3 3 3 3
"142939" 0 21 2 "Eastasia" 3 3 3 3 4 3 3
"143810" 0 62 1 "Eastasia" 3 3 2 4 4 4 5
"2806" 0 28 3 "Oceania" 1 2 1 1 3 5 2
"68024" 1 37 2 "Eastasia" 2 2 1 4 4 3 4
"134688" 1 35 5 "Eastasia" 3 3 3 3 3 3 3
"15591" 0 40 2 "Eastasia" 2 2 2 3 4 4 5
"76784" 1 55 1 "Oceania" 1 1 1 5 5 5 5
"165069" 1 30 4 "Eastasia" 4 5 3 5 5 5 4
"71009" 0 34 1 "Eastasia" 3 3 4 3 4 3 4
"20894" 0 34 6 "Eastasia" 1 1 2 5 5 5 5
"125067" 1 39 5 "Eastasia" 3 3 3 4 5 5 5
"78088" 1 45 4 "Oceania" 3 3 2 4 5 4 5
"126709" 1 24 3 "Eastasia" 5 5 1 5 5 4 5
"13164" 1 36 3 "Eastasia" 5 5 5 5 5 5 5
"85193" 1 20 4 "Eastasia" 5 5 5 5 5 5 5
"164925" 1 41 2 "Eastasia" 4 4 4 4 4 4 4
"109963" 0 56 1 "Eurasia" 4 5 4 4 4 5 5
"8586" 0 37 1 "Eastasia" 4 4 4 4 4 4 4
"120397" 0 70 1 "Eurasia" 2 2 3 3 4 5 5
"145432" 0 30 3 "Eastasia" 3 3 1 4 3 2 2
"158162" 1 50 1 "Eastasia" 3 4 4 3 2 3 3
"76503" 0 19 3 "Oceania" 2 2 2 5 5 3 5
"66692" 0 31 2 "Eastasia" 3 3 4 2 4 2 3
"169132" 1 53 4 "Eastasia" 4 4 3 2 3 5 4
"18036" 1 32 3 "Eastasia" 1 1 1 5 4 5 4
"125164" 0 36 1 "Eastasia" 1 1 1 5 2 5 5
"60470" 0 37 1 "Oceania" 2 2 2 3 5 5 5
"91651" 1 64 2 "Oceania" 2 2 2 2 4 5 4
"2361" 1 65 2 "Oceania" 2 4 5 4 2 5 2
"98636" 0 21 4 "Eastasia" 3 3 2 4 2 2 2
"90883" 1 19 2 "Oceania" 2 3 5 5 2 4 1
"128288" 0 36 1 "Eastasia" 1 1 1 3 4 4 5
"129069" 0 44 3 "Eastasia" 4 4 2 4 4 3 5
"170637" 1 52 2 "Eastasia" 1 1 1 1 1 1 1
"171573" 0 42 6 "Eastasia" 2 2 3 3 3 3 2
"80769" 0 31 4 "Eastasia" 4 5 4 4 5 4 4
"102182" 1 45 3 "Eastasia" 2 3 3 4 2 2 2
"30845" 0 28 6 "Oceania" 1 1 1 4 4 5 5
"121721" 1 73 1 "Eastasia" 5 5 4 4 5 5 5
"168813" 1 41 3 "Eastasia" 3 3 1 3 4 5 5
"110047" 1 28 5 "Eurasia" 3 3 3 2 2 1 2
"152609" 1 25 5 "Eastasia" 2 2 2 4 5 4 5
"59673" 0 17 2 "Oceania" 4 4 5 5 5 5 5
"11323" 0 18 3 "Eastasia" 3 3 4 2 5 4 5
"2464" 1 20 2 "Oceania" 5 5 5 5 4 5 5
"67821" 0 28 2 "Eastasia" 2 2 2 2 2 2 2
"132094" 0 49 6 "Eastasia" 1 1 2 3 5 5 5
"28969" 1 66 2 "Oceania" 4 5 5 4 5 5 5
"28150" 0 42 4 "Oceania" 2 2 3 4 4 4 5
"111268" 0 68 1 "Eastasia" 2 2 2 4 2 5 5
"167283" 0 24 3 "Eastasia" 3 3 2 3 4 4 5
"123017" 1 40 2 "Eastasia" 5 5 5 5 5 5 5
"71439" 1 40 1 "Eastasia" 4 4 4 4 4 4 4
"149414" 1 51 2 "Eastasia" 4 4 4 4 4 3 3
"65653" 0 32 1 "Eastasia" 3 3 3 2 2 3 2
"18307" 0 30 3 "Eastasia" 3 3 3 3 4 3 3
"84649" 0 62 4 "Eastasia" 5 5 5 5 5 5 5
"111019" 1 30 4 "Eastasia" 5 5 5 5 5 5 5
"118196" 0 36 3 "Eurasia" 5 5 5 5 5 5 5
"23199" 0 27 5 "Oceania" 2 2 2 3 3 3 5
"112474" 0 24 3 "Eastasia" 3 3 3 3 4 4 4
"147730" 0 47 5 "Eastasia" 3 3 3 5 5 4 5
"122929" 0 72 2 "Eastasia" 3 3 4 4 5 5 5
"7675" 1 26 1 "Eastasia" 2 5 5 2 5 5 5
"23814" 1 50 6 "Oceania" 3 3 3 4 4 4 5
"67663" 1 20 3 "Eastasia" 5 5 5 5 5 5 5
"82487" 0 45 1 "Eastasia" 4 4 5 3 4 5 5
"152616" 1 26 5 "Eastasia" 2 2 2 4 5 4 5
"105811" 1 31 2 "Eastasia" 1 1 1 4 4 5 5
"54165" 0 75 6 "Eastasia" 3 3 3 4 5 4 5
"65624" 0 68 3 "Eastasia" 2 2 2 5 4 5 4
"71383" 1 22 1 "Eastasia" 5 5 4 3 4 5 5
"57136" 1 28 1 "Oceania" 5 5 5 5 5 5 5
"108952" 1 71 3 "Eurasia" 5 5 5 5 5 5 5
"71010" 1 51 1 "Eastasia" 5 5 5 5 5 5 5
"54741" 1 53 6 "Eastasia" 2 2 2 4 5 5 5
"62473" 1 40 1 "Eastasia" 3 3 3 3 3 3 3
"169635" 1 57 4 "Eastasia" 1 1 2 2 5 3 5
"69397" 0 51 1 "Eastasia" 1 1 1 5 5 5 5
"171791" 0 23 3 "Eastasia" 3 3 1 3 4 3 5
"57366" 1 35 2 "Oceania" 4 4 3 4 4 4 3
"102304" 0 63 6 "Eastasia" 1 4 5 3 3 4 1
"132628" 1 18 5 "Eastasia" 3 3 2 5 5 4 5
"39928" 1 45 5 "Eastasia" 5 5 5 5 5 5 5
"8118" 1 62 4 "Eastasia" 5 5 5 5 5 5 5
"143846" 1 21 2 "Eastasia" 4 4 4 3 3 2 3
"100138" 1 45 1 "Eastasia" 3 4 3 3 3 4 2
"136336" 1 18 1 "Eastasia" 2 2 1 3 4 4 5
"123512" 1 46 3 "Eastasia" 4 4 2 4 5 4 5
"51304" 1 45 7 "Eastasia" 1 1 1 5 5 4 5
"50359" 1 18 6 "Eastasia" 1 1 1 4 5 3 5
"95023" 0 25 1 "Eastasia" 3 3 2 5 5 4 5
"115547" 1 82 1 "Eastasia" 4 5 4 3 5 4 3
"138748" 0 22 5 "Eastasia" 3 3 4 4 5 4 4
"103951" 0 18 2 "Eastasia" 5 5 5 4 4 5 4
"71500" 0 63 1 "Eastasia" 4 4 4 4 4 4 3
"145298" 1 20 2 "Eastasia" 2 2 1 3 4 5 3
"127152" 1 27 3 "Eastasia" 1 1 1 5 5 3 5
"159323" 1 35 1 "Eastasia" 3 3 4 5 5 5 5
"146765" 0 47 4 "Eastasia" 3 3 3 3 3 3 3
"162131" 1 43 5 "Eastasia" 3 3 3 3 3 3 3
"49483" 1 57 3 "Eastasia" 2 4 2 2 4 4 5
"21559" 0 60 1 "Eastasia" 2 2 2 5 3 3 5
"25840" 1 77 4 "Oceania" 3 3 3 3 4 3 3
"13386" 1 34 6 "Eastasia" 1 1 2 4 3 4 5
"106246" 1 25 1 "Eastasia" 1 1 1 5 5 1 5
"46989" 1 46 6 "Eastasia" 3 3 4 3 4 4 4
"149514" 1 89 1 "Eastasia" 3 3 3 3 3 3 3
"149682" 0 60 4 "Eastasia" 3 3 3 4 4 4 4
"126666" 1 20 1 "Eastasia" 2 2 2 5 5 5 5
"17062" 1 48 3 "Eastasia" 5 5 5 5 1 5 5
"81406" 0 45 1 "Eastasia" 1 1 1 1 1 1 1
"53148" 1 72 5 "Eastasia" 3 3 2 4 5 3 5
"27867" 1 67 3 "Oceania" 2 4 3 3 3 4 2
"59663" 1 36 1 "Oceania" 3 3 2 4 4 4 3
"108518" 0 24 4 "Eurasia" 3 3 2 5 5 5 5
"73531" 0 22 3 "Eastasia" 4 4 3 5 2 4 3
"50137" 1 51 5 "Eastasia" 3 3 1 4 4 4 5
"24279" 0 42 6 "Oceania" 3 3 2 5 5 4 5
"37567" 0 19 3 "Eastasia" 4 4 3 3 4 3 3
"84271" 0 24 1 "Eastasia" 4 4 4 4 4 3 4
"164869" 1 61 6 "Eastasia" 3 3 2 4 5 5 5
"22763" 0 45 5 "Oceania" 3 3 2 3 5 3 4
"110303" 0 37 6 "Eurasia" 3 3 2 3 5 3 3
"10587" 0 21 4 "Eastasia" 5 5 2 5 5 5 5
"102512" 1 36 3 "Eastasia" 5 5 2 5 5 3 5
"4486" 0 20 2 "Oceania" 2 2 1 5 5 3 5
"49297" 0 39 6 "Eastasia" 2 2 2 3 4 3 4
"53521" 1 41 5 "Eastasia" 3 3 3 4 4 3 5
"161849" 1 46 1 "Eastasia" 3 3 2 3 4 3 5
"160036" 0 64 1 "Eastasia" 4 4 4 5 5 5 5
"53561" 1 70 6 "Eastasia" 3 3 2 4 5 3 5
"8978" 0 65 2 "Eastasia" 3 3 3 3 3 3 3
"78048" 1 28 1 "Oceania" 2 2 2 4 5 4 5
"68764" 0 28 2 "Eastasia" 2 2 3 2 3 4 3
"122020" 0 36 2 "Eastasia" 1 1 2 5 5 5 5
"14287" 1 36 6 "Eastasia" 3 3 2 4 4 4 5
"118281" 1 23 3 "Eurasia" 3 3 4 3 3 3 3
"67500" 1 41 1 "Eastasia" 3 3 1 5 5 4 5
"23333" 1 52 3 "Oceania" 1 1 1 4 4 4 5
"157853" 0 42 7 "Eastasia" 3 3 3 4 4 4 5
"24024" 1 75 3 "Oceania" 2 2 2 3 4 3 5
"158828" 0 48 1 "Eastasia" 5 5 4 5 5 5 5
"71039" 0 49 1 "Eastasia" 5 5 5 5 5 5 5
"25655" 0 62 3 "Oceania" 3 4 4 3 4 4 5
"73447" 0 18 1 "Eastasia" 1 1 1 5 5 5 5
"81361" 0 60 1 "Eastasia" 3 3 4 5 4 4 4
"122990" 1 48 3 "Eastasia" 5 5 5 5 5 5 5
"101158" 1 25 3 "Eastasia" 2 5 4 3 4 5 2
"165704" 0 32 3 "Eastasia" 4 4 4 4 5 2 5
"106425" 1 23 1 "Eastasia" 5 5 5 5 5 5 5
"93912" 1 30 1 "Eastasia" 4 4 4 4 4 5 4
"164638" 0 30 5 "Eastasia" 2 3 3 3 2 3 2
"72248" 0 24 3 "Eastasia" 3 3 4 3 3 4 4
"56261" 1 NA 1 "Oceania" 2 2 1 4 5 5 5
"112848" 1 42 6 "Eastasia" 4 5 5 1 1 3 1
"13028" 0 28 4 "Eastasia" 4 4 4 5 5 5 4
"81348" 0 35 1 "Eastasia" 3 3 3 3 3 3 3
"113030" 0 35 4 "Eastasia" 2 2 2 2 3 2 3
"61465" 0 34 1 "Oceania" 2 2 2 2 4 4 5
"131945" 0 29 5 "Eastasia" 3 3 4 4 3 5 3
"119390" 0 29 4 "Eurasia" 3 4 1 3 5 3 5
"90457" 0 29 5 "Oceania" 4 4 1 4 5 3 4
"950" 0 19 3 "Oceania" 2 2 2 5 5 5 5
"31057" 0 62 7 "Oceania" 3 4 4 3 3 2 4
"134289" 1 32 5 "Eastasia" 2 2 1 4 4 4 5
"146791" 0 41 4 "Eastasia" 4 4 2 4 4 3 3
"21340" 1 24 5 "Eastasia" 2 2 1 5 4 1 4
"114066" 0 30 6 "Eastasia" 1 1 1 2 4 4 4
"169655" 0 42 5 "Eastasia" 3 3 3 3 3 3 3
"119084" 1 63 1 "Eurasia" 3 3 2 2 2 1 3
"24643" 0 59 6 "Oceania" 3 3 2 4 4 3 5
"56613" 0 35 1 "Oceania" 5 5 4 4 5 5 5
"47633" 0 44 4 "Eastasia" 2 2 1 4 5 3 5
"88383" 0 43 1 "Oceania" 2 2 2 3 5 4 2
"95486" 1 45 2 "Eastasia" 4 4 3 5 5 5 5
"104193" 1 19 3 "Eastasia" 5 5 5 4 5 5 4
"61506" 0 36 2 "Oceania" 1 2 2 1 2 2 2
"86201" 1 23 4 "Eastasia" 5 5 5 5 5 5 5
"18417" 0 34 4 "Eastasia" 2 2 2 5 2 4 5
"142486" 1 20 3 "Eastasia" 2 2 2 3 5 4 5
"74939" 1 37 3 "Oceania" 2 2 2 5 4 4 5
"169204" 1 56 6 "Eastasia" 1 1 1 5 5 5 5
"38453" 1 40 4 "Eastasia" 3 3 2 4 4 4 4
"140318" 0 36 1 "Eastasia" 3 3 3 3 4 3 3
"152010" 1 48 3 "Eastasia" 5 5 5 4 5 5 5
"160701" 1 60 1 "Eastasia" 3 3 4 4 5 5 5
"10379" 0 59 2 "Eastasia" 1 1 1 5 5 5 5
"80736" 1 42 1 "Eastasia" 3 3 3 4 4 4 3
"57249" 0 25 1 "Oceania" 1 1 1 2 5 5 5
"19688" 0 24 3 "Eastasia" 3 3 2 3 5 1 2
"151444" 0 21 5 "Eastasia" 3 3 3 4 5 4 5
"123149" 1 43 3 "Eastasia" 5 5 5 4 5 4 5
"168588" 1 41 2 "Eastasia" 4 4 4 4 5 3 5
"8337" 0 33 2 "Eastasia" 4 5 3 4 5 5 5
"40418" 0 23 5 "Eastasia" 1 1 1 2 3 5 5
"114044" 0 27 7 "Eastasia" 2 2 2 5 2 2 5
"72582" 0 28 7 "Eastasia" 3 3 5 5 4 5 4
"164124" 1 20 4 "Eastasia" 3 3 4 3 4 4 3
"156084" 1 79 1 "Eastasia" 4 4 3 3 5 4 4
"127032" 1 24 1 "Eastasia" 5 5 5 5 5 5 5
"133799" 0 42 6 "Eastasia" 1 1 2 3 5 3 4
"44551" 1 51 2 "Oceania" 3 4 2 3 4 3 5
"132241" 1 46 6 "Eastasia" 3 3 2 4 4 3 5
"73446" 1 26 1 "Eastasia" 1 1 1 3 4 4 5
"67803" 0 32 4 "Eastasia" 2 2 2 3 4 4 5
"78703" 1 40 1 "Oceania" 3 4 2 5 5 4 3
"81171" 1 6 1 "Eastasia" 2 2 3 4 5 4 5
"134672" 0 28 6 "Eastasia" 3 3 4 3 4 3 3
"57003" 1 NA 1 "Oceania" 4 4 3 3 5 3 5
"150796" 1 53 4 "Eastasia" 2 2 4 3 4 4 5
"140615" 0 22 4 "Eastasia" 3 3 2 2 5 3 3
"44059" 0 41 5 "Oceania" 1 1 2 4 5 4 5
"52388" 0 47 6 "Eastasia" 3 3 3 5 5 5 5
"41762" 1 35 4 "Oceania" 2 2 2 5 4 5 5
"48217" 1 82 3 "Eastasia" 3 3 2 3 3 3 3
"131556" 1 89 3 "Eastasia" 3 3 3 4 5 5 5
"94188" 1 25 2 "Eastasia" 2 2 2 4 4 3 5
"101041" 1 31 1 "Eastasia" 2 3 5 3 3 3 2
"83955" 1 35 1 "Eastasia" 1 1 3 1 2 4 3
"26068" 1 25 5 "Oceania" 2 2 4 2 3 4 3
"100511" 1 30 2 "Eastasia" 1 1 1 5 5 4 5
"108599" 1 50 3 "Eurasia" 1 1 1 4 5 5 4
"166412" 0 31 1 "Eastasia" 3 3 3 4 3 4 3
"138838" 1 30 1 "Eastasia" 2 2 2 4 5 4 5
"1134" 0 25 4 "Oceania" 2 3 2 2 3 3 3
"13157" 0 39 3 "Eastasia" 4 4 5 5 4 5 5
"50610" 0 47 5 "Eastasia" 4 4 4 4 4 4 3
"11238" 0 31 4 "Eastasia" 4 4 2 5 4 5 5
"162692" 1 20 4 "Eastasia" 4 4 3 5 4 4 4
"98112" 1 60 1 "Eastasia" 2 2 1 5 5 5 5
"6189" 0 46 5 "Eastasia" 4 4 4 5 5 4 5
"70915" 1 39 1 "Eastasia" 3 4 5 3 2 3 1
"142791" 0 35 1 "Eastasia" 4 4 4 3 3 3 5
